City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
484,Acapulco,16.8634,-99.8901,80.42,65,40,4.61,MX,2022-02-10 16:35:05
485,Mikhaylovskoye,51.8239,79.7172,-11.07,100,88,4.25,RU,2022-02-10 16:38:51
486,Leninskoye,41.7589,69.3864,39.13,54,100,4.92,KZ,2022-02-10 16:38:51
487,Cabinda,-5.55,12.2,80.2,74,76,10.8,AO,2022-02-10 16:38:51
488,Estacion Coahuila,32.1939,-115.0017,71.96,19,0,16.84,MX,2022-02-10 16:38:52
489,Gilbues,-9.8317,-45.3439,90.82,39,92,2.57,BR,2022-02-10 16:38:52
490,Gradistea,44.2333,27.2167,50.11,38,0,1.01,RO,2022-02-10 16:38:52
491,Acajutla,13.5928,-89.8275,86.81,44,0,5.06,SV,2022-02-10 16:38:53
492,Toyoshina,36.2999,137.9011,31.37,87,86,3.96,JP,2022-02-10 16:38:53
493,Asau,46.4333,26.4,45.52,91,15,6.24,RO,2022-02-10 16:35:16
494,Quelimane,-17.8786,36.8883,82.35,74,20,11.5,MZ,2022-02-10 16:38:53
495,Roald,62.5833,6.1333,35.91,75,75,13.8,NO,2022-02-10 16:37:41
496,Scottsbluff,41.8666,-103.6672,48.81,52,0,18.01,US,2022-02-10 16:34:32
497,Oranjemund,-28.55,16.4333,68.34,76,1,17.6,NA,2022-02-10 16:38:54
498,Muleba,-1.8397,31.6544,70.38,76,38,5.14,TZ,2022-02-10 16:38:54
499,Miles City,46.4083,-105.8406,55.51,53,20,20.71,US,2022-02-10 16:38:54
500,Sungairaya,0.7,108.9,75.94,93,100,5.55,ID,2022-02-10 16:38:55
501,Launceston,-41.45,147.1667,56.84,62,75,10.36,AU,2022-02-10 16:38:55
502,Kotelnich,58.3089,48.348,21.38,94,100,8.59,RU,2022-02-10 16:39:55
503,Padang,-0.9492,100.3543,77.58,78,99,3.33,ID,2022-02-10 16:39:56
504,Rock Springs,41.5875,-109.2029,38.05,74,0,23.02,US,2022-02-10 16:36:00
505,Goianesia,-15.3175,-49.1175,68.36,97,100,7.87,BR,2022-02-10 16:39:56
506,Solnechnyy,50.7214,136.6319,-1.68,96,94,3.51,RU,2022-02-10 16:39:56
507,Stolin,51.8912,26.846,41.77,91,97,10.36,BY,2022-02-10 16:39:57
508,Novikovo,51.1537,37.8879,34.23,89,96,11.74,RU,2022-02-10 16:39:57
509,Manado,1.487,124.8455,77.77,94,40,1.14,ID,2022-02-10 16:39:57
510,Port Blair,11.6667,92.75,79.38,73,16,8.68,IN,2022-02-10 16:39:44
511,Laguna,38.421,-121.4238,66.22,85,0,1.01,US,2022-02-10 16:39:58
512,Uarini,-2.99,-65.1083,87.75,72,90,3.51,BR,2022-02-10 16:39:58
513,Nanortalik,60.1432,-45.2371,26.58,57,77,8.21,GL,2022-02-10 16:39:58
514,Slavsk,55.0425,21.677,39.6,81,100,11.03,RU,2022-02-10 16:39:59
515,Chambas,22.1928,-78.9136,78.42,71,29,8.59,CU,2022-02-10 16:39:59
516,Xining,36.6167,101.7667,18.05,93,100,1.66,CN,2022-02-10 16:39:59
517,Santa Cruz,-17.8,-63.1667,89.65,45,40,16.11,BO,2022-02-10 16:38:01
518,Mehamn,71.0357,27.8492,21.11,79,0,10.36,NO,2022-02-10 16:40:00
519,Nykirke,54.8667,8.7333,41.09,84,100,16.15,DE,2022-02-10 16:40:00
520,Buala,-8.145,159.5921,79.11,85,100,8.03,SB,2022-02-10 16:39:23
521,Vardo,70.3705,31.1107,26.8,80,75,6.91,NO,2022-02-10 16:40:01
522,Mayumba,-3.432,10.6554,79.61,83,36,8.95,GA,2022-02-10 16:40:02
523,Vetapalem,15.7833,80.3167,74.43,67,7,8.93,IN,2022-02-10 16:40:02
524,Hartland,43.105,-88.342,26.02,71,75,1.01,US,2022-02-10 16:39:02
525,Zgierz,51.8556,19.4062,46.18,79,0,2.3,PL,2022-02-10 16:40:03
526,Luang Prabang,19.8856,102.1347,64.24,47,58,0.56,LA,2022-02-10 16:40:03
527,Sao Joao Da Barra,-21.6403,-41.0511,77.09,92,100,7.83,BR,2022-02-10 16:40:04
528,Killam,52.7834,-111.8518,44.19,65,42,21.85,CA,2022-02-10 16:40:04
529,Koumac,-20.5667,164.2833,79.52,90,100,20.58,NC,2022-02-10 16:40:04
530,Qasigiannguit,68.8193,-51.1922,-18.42,89,72,5.28,GL,2022-02-10 16:40:05
531,Ponta Delgada,37.7333,-25.6667,65.5,63,40,13.8,PT,2022-02-10 16:40:05
532,Presidencia Roque Saenz Pena,-26.7852,-60.4388,99.21,18,1,5.86,AR,2022-02-10 16:40:05
533,Necochea,-38.5473,-58.7368,85.03,38,19,16.15,AR,2022-02-10 16:39:33
534,Luis Correia,-2.8792,-41.6669,87.8,70,75,11.5,BR,2022-02-10 16:40:06
535,Chongqing,29.5628,106.5528,47.23,79,100,4.47,CN,2022-02-10 16:40:06
536,Zhezkazgan,47.8043,67.7144,17.58,86,100,13.42,KZ,2022-02-10 16:40:06
537,Ilhabela,-23.7781,-45.3581,78.75,69,77,6.06,BR,2022-02-10 16:40:07
538,Pop,40.8736,71.1089,37.89,48,57,5.57,UZ,2022-02-10 16:40:07
539,Bose,45.4612,8.0137,51.19,76,10,0.18,IT,2022-02-10 16:40:07
540,Cururupu,-1.8283,-44.8683,77.32,85,90,3.44,BR,2022-02-10 16:40:08
541,Vostok,46.4856,135.8833,3.6,98,86,3.24,RU,2022-02-10 16:40:08
542,Aklavik,68.2191,-135.0107,-17.57,69,100,5.75,CA,2022-02-10 16:40:08
543,Ulaangom,49.9811,92.0667,-23.17,89,79,4.0,MN,2022-02-10 16:40:09
544,Yenagoa,4.9247,6.2642,92.03,42,62,11.34,NG,2022-02-10 16:40:09
545,Wajir,1.7471,40.0573,94.96,26,0,0.0,KE,2022-02-10 16:40:09
546,Raipur,21.2333,81.6333,69.94,73,20,4.61,IN,2022-02-10 16:40:00
547,Siilinjarvi,63.0833,27.6667,30.22,80,100,11.5,FI,2022-02-10 16:40:10
548,Viedma,-40.8135,-62.9967,67.01,41,89,21.9,AR,2022-02-10 16:40:07
549,Coahuayana,18.7333,-103.6833,86.59,22,15,3.02,MX,2022-02-10 16:40:10
550,Gondanglegi,-7.7479,112.0132,73.49,97,100,1.66,ID,2022-02-10 16:41:10
551,Pauini,-7.7136,-66.9764,82.56,67,99,5.03,BR,2022-02-10 16:41:11
552,Asuncion,-25.3007,-57.6359,96.24,24,0,13.8,PY,2022-02-10 16:40:39
553,Angoche,-16.2325,39.9086,79.34,80,71,7.4,MZ,2022-02-10 16:41:11
554,Sangueya,10.7,-14.3667,93.78,30,1,10.25,GN,2022-02-10 16:41:11
555,Peru,40.7537,-86.0689,32.74,80,100,16.11,US,2022-02-10 16:41:12
556,Hanzhong,33.0728,107.0303,44.35,59,100,2.33,CN,2022-02-10 16:41:12
557,Kenora,49.8167,-94.4337,12.18,85,100,13.8,CA,2022-02-10 16:40:57
558,Luderitz,-26.6481,15.1594,77.04,48,2,25.08,NA,2022-02-10 16:41:12
559,Meulaboh,4.1363,96.1285,75.92,84,99,4.52,ID,2022-02-10 16:41:13
