City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
411,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
414,Puerto Del Rosario,ES,67.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
418,Kavaratti,IN,79.03,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
423,Byron Bay,AU,75.15,few clouds,-28.65,153.6167,Backpackers Inn
424,Bonthe,SL,78.49,clear sky,7.5264,-12.505,Bonthe Holiday Village
425,Ternate,ID,79.48,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
426,Scottsboro,US,66.11,clear sky,34.6723,-86.0341,Budget Inn
427,San Blas,MX,85.89,clear sky,21.5167,-105.2667,Hotel Posada del Rey
437,Sibolga,ID,74.95,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
439,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
441,Sur,OM,68.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
443,Luwuk,ID,76.71,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
448,Thamaga,BW,70.66,broken clouds,-24.6701,25.5397,The Signature Hotel
452,Trat,TH,82.98,overcast clouds,12.5,102.5,สวนหนิง-อัศ
453,Porbandar,IN,68.59,clear sky,21.6422,69.6093,Lords Inn Porbandar
454,Bontang,ID,75.63,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
459,Bonao,DO,85.98,few clouds,18.9369,-70.4092,POOL CITY HOTEL Bar & Lounge
463,Luganville,VU,80.91,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
464,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
467,Waingapu,ID,76.68,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
471,Coquimbo,CL,71.33,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
472,Tevaitoa,PF,81.59,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
473,Christchurch,NZ,66.33,overcast clouds,-43.5333,172.6333,The George
474,Salta,AR,79.57,moderate rain,-24.7859,-65.4117,Hotel Alejandro I
475,El Dorado,US,73.63,broken clouds,38.7666,-120.5177,South Fork Group Campground
480,Alta Floresta,BR,79.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
484,Pringsewu,ID,71.58,overcast clouds,-5.3582,104.9744,Urban Style by Front One
485,San Ramon,US,77.79,clear sky,37.7799,-121.978,San Ramon Marriott
487,Njeru,UG,68.38,scattered clouds,0.4186,33.1731,2 Friends Guesthouse and Restaurant
489,Viedma,AR,69.64,overcast clouds,-40.8135,-62.9967,Hotel Cristal
491,Kandrian,PG,77.88,light rain,-6.2167,149.55,Kandrian Station
493,Aquidaba,BR,80.38,clear sky,-10.2814,-37.0186,POUSADA 2000
494,Samarai,PG,81.36,broken clouds,-10.6167,150.6667,Nuli Sapi
496,Black River,JM,79.99,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
497,Upington,ZA,85.35,clear sky,-28.4478,21.2561,River Place Manor
504,Belmopan,BZ,83.48,scattered clouds,17.25,-88.7667,Villa San Juan
506,Ormond Beach,US,72.25,clear sky,29.2858,-81.0559,Makai Beach Lodge
509,Biak,ID,75.76,broken clouds,-0.9131,122.8766,Penginapan Kim
510,Taylor,US,69.53,clear sky,32.3001,-99.8337,Elm Creek Bed & Breakfast
517,Russell,US,69.4,clear sky,32.3502,-85.1999,Macs
521,San Quintin,MX,71.89,clear sky,30.4833,-115.95,Don Eddie's Landing
523,Catarman,PH,76.01,overcast clouds,12.4989,124.6377,Pink City Pension Hotel
527,Sarangani,PH,81.45,overcast clouds,5.4033,125.4636,Ballistic Islet
530,Palmeirais,BR,80.13,overcast clouds,-5.9778,-43.0633,Pousada LS
531,Tarakan,ID,77.85,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
532,Monrovia,LR,78.57,clear sky,6.3005,-10.7969,Sunset Inn
534,Biltine,TD,68.72,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
536,Boueni,YT,76.98,light rain,-12.9025,45.0761,The feet in water
540,Ulladulla,AU,67.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
544,Tangara,BR,83.08,scattered clouds,-6.1994,-35.8017,Pousada Gonçalves
549,Pointe Michel,DM,78.26,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
552,Maungatapere,NZ,75.07,overcast clouds,-35.75,174.2,Les & Pauline Kell
553,Saint-Joseph,RE,73.78,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
556,Harper,LR,79.36,clear sky,4.375,-7.7169,Screensaver
561,Bantogon,PH,77.77,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
563,Namwala,ZM,65.84,overcast clouds,-15.7504,26.4384,Corner Point Lodge
564,Joao Pinheiro,BR,71.01,light rain,-17.7425,-46.1725,Hotel Santos
570,Antsohihy,MG,73.49,light rain,-14.8796,47.9875,Hotel de Ville
573,Celestun,MX,74.03,few clouds,20.8667,-90.4,Posada Lilia
574,Amboasary,MG,75.6,scattered clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
577,Valparaiso,CL,69.44,broken clouds,-33.0393,-71.6273,Hotel Ultramar
582,Cocorit,MX,75.54,clear sky,27.5833,-109.9667,Kaba Motel
584,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
588,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
597,Durban,ZA,76.93,moderate rain,-29.8579,31.0292,Hilton Durban
599,Gisborne,NZ,77.95,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
600,Hobyo,SO,75.61,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
602,Sehithwa,BW,72.28,light rain,-20.4667,22.7167,MONLEK GUEST HOUSE
605,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
608,Tema,GH,84.61,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
609,Meulaboh,ID,75.54,overcast clouds,4.1363,96.1285,Kost Pria
613,Mapiripan,CO,81.59,overcast clouds,2.8892,-72.1256,Monserrate
